yyyy doy mn dd    MJD                 P0ms           Pdot0                  nu0            nudot0_15       tJPLms        SNthr 
2017 221 08 09  57974     33.7386455638600   4.196976E-013     29.6396012136058        -368706.86500       5.4986         0.00 
nGRPmax
    461
 nGRP  nORG  NSEQpulse        TDBsec                  MJD   peakSN    sumSN  Nsubpulse        phase       UThhmmss          UTsec
    0     0    1786243  60265.461130  57974.6975169112320     7.03     9.83          2      0.40247  164818.260370   60498.260370
    1     1    1786921  60288.336023  57974.6977816669310     7.02     7.95          2      0.40450  164841.133435   60521.133435
    2     2    1787035  60292.182065  57974.6978261812990     7.17     7.60          2      0.39975  164844.979169   60524.979170
    3     3    1787328  60302.067720  57974.6979405986180    15.28    19.45          2      0.40622  164854.864034   60534.864035
    4     4    1788416  60338.775447  57974.6983654565630     6.34     8.57          3      0.40797  164931.568829   60571.568830
    5     5    1792164  60465.227785  57974.6998290252930    52.19    64.82          4      0.40183  165138.011064   60698.011065
    6     6    1792696  60483.176929  57974.7000367700100    19.33    26.58          4      0.40692  165155.958774   60715.958775
    7     7    1793963  60525.923599  57974.7005315231360     6.05    17.02          4      0.40039  165238.702030   60758.702030
    8     8    1796981  60627.747039  57974.7017100351740    24.11    29.49          3      0.40411  165420.517334   60860.517335
    9     9    1798272  60671.303784  57974.7022141641600    38.05    41.88          2      0.40783  165504.070599   60904.070600
   10    10    1798348  60673.867834  57974.7022438406660     6.31    11.13          3      0.40503  165506.634445   60906.634445
   11    11    1798858  60691.074798  57974.7024429953410     5.66     8.10          2      0.41222  165523.840035   60923.840035
   12    12    1800864  60758.754521  57974.7032263254780    11.40    13.68          2      0.41086  165631.514349   60991.514350
   13    13    1802784  60823.532631  57974.7039760721150     6.11     6.11          1      0.40661  165736.287284   61056.287285
   14    14    1802906  60827.648680  57974.7040237115780     5.94     5.94          1      0.40456  165740.403005   61060.403005
   15    15    1803677  60853.660954  57974.7043247795580     6.14     7.50          2      0.39756  165806.413200   61086.413200
   16    16    1806449  60947.184856  57974.7054072321280     5.72     5.72          1      0.40661  165939.929629   61179.929630
   17    17    1809402  61046.814877  57974.7065603573760     8.79     9.26          2      0.39844  170119.551690   61279.551690
   18    18    1810515  61084.366327  57974.7069949806340     7.08     9.50          2      0.40761  170157.100140   61317.100140
   19    19    1817034  61304.308596  57974.7095406087420     6.77     8.76          2      0.40364  170537.024834   61537.024835
   20    20    1827580  61660.116773  57974.7136587589500    17.91    22.64          2      0.40819  171132.804580   61892.804580
   21    21    1831882  61805.260421  57974.7153386622850     5.67     8.41          2      0.40475  171357.936629   62037.936630
   22    22    1835409  61924.256830  57974.7167159355260     5.55     5.55          1      0.40817  171556.923530   62156.923530
   23    23    1835957  61942.745558  57974.7169299254400     6.76     8.30          2      0.40625  171615.410779   62175.410780
   24    24    1836406  61957.894113  57974.7171052559360    11.32    15.56          3      0.40289  171630.558125   62190.558125
   25    25    1837480  61994.129399  57974.7175246458240     6.15     8.27          2      0.40147  171706.790515   62226.790515
   26    26    1838034  62012.820592  57974.7177409790720    44.08    50.74          3      0.40056  171725.480215   62245.480215
   27    27    1840368  62091.566815  57974.7186523936900    16.18    23.02          3      0.40542  171844.220144   62324.220145
   28    28    1841447  62127.970529  57974.7190737329790     7.40     7.40          1      0.39631  171920.620949   62360.620950
   29    29    1841504  62129.893768  57974.7190959926910     9.11     9.11          1      0.40011  171922.544034   62362.544035
   30    30    1844777  62240.320653  57974.7203740816380    41.19    57.69          3      0.40642  172112.962095   62472.962095
   31    31    1844985  62247.338103  57974.7204553021180     5.58    10.49          3      0.40069  172119.978985   62479.978985
   32    32    1845731  62272.507400  57974.7207466134270     9.33    17.27          4      0.40819  172145.146269   62505.146270
   33    33    1848743  62374.128236  57974.7219227805060     8.42    16.50          4      0.40675  172326.758985   62606.758985
   34    34    1850257  62425.208503  57974.7225139873020    14.67    19.51          3      0.40447  172417.835169   62657.835170
   35    35    1854415  62565.493639  57974.7241376578560     7.28    16.79          6      0.39656  172638.109094   62798.109095
   36    36    1861002  62787.730429  57974.7267098429310     5.76     5.76          1      0.40128  173020.328125   63020.328125
   37    37    1861121  62791.745365  57974.7267563120900    41.22    54.36          5      0.40244  173024.342740   63024.342740
   38    38    1861478  62803.790082  57974.7268957185410     7.89     7.89          1      0.40261  173036.386494   63036.386495
   39    39    1865004  62922.752815  57974.7282726020220    11.66    11.66          1      0.40797  173235.339720   63155.339720
   40    40    1865340  62934.088606  57974.7284038033150    12.09    12.83          2      0.39586  173246.674605   63166.674605
   41    41    1868154  63029.029463  57974.7295026558210     8.80     8.80          1      0.40281  173421.607875   63261.607875
   42    42    1870920  63122.350726  57974.7305827630340    16.01    21.32          3      0.40583  173554.921679   63354.921680
   43    43    1871996  63158.653492  57974.7310029339390     7.33    13.09          3      0.40433  173631.221545   63391.221545
   44    44    1872354  63170.732072  57974.7311427323140     7.00    13.26          3      0.40853  173643.299160   63403.299160
   45    45    1872786  63185.307127  57974.7313114250750     6.19     6.97          2      0.40700  173657.873050   63417.873050
   46    46    1875900  63290.368984  57974.7325274188030     5.63     7.91          2      0.39606  173842.926509   63522.926510
   47    47    1876065  63295.936149  57974.7325918535810    26.04    31.12          3      0.40447  173848.493230   63528.493230
   48    48    1876308  63304.134509  57974.7326867420030     8.62     9.04          2      0.40025  173856.690934   63536.690935
   49    49    1878993  63394.722908  57974.7337352188420    17.96    17.96          1      0.40217  174027.272095   63627.272095
   50    50    1879401  63408.488248  57974.7338945399040    20.11    21.46          2      0.40106  174041.036334   63641.036335
   51    51    1880617  63449.514472  57974.7343693804670     6.55    11.23          3      0.40117  174122.059280   63682.059280
   52    52    1884408  63577.417954  57974.7358497448320    39.37    45.82          3      0.40636  174329.952539   63809.952540
   53    53    1885465  63613.079564  57974.7362624949500     7.06    10.92          2      0.40142  174405.611299   63845.611300
   54    54    1892810  63860.890293  57974.7391306746880    30.00    32.46          2      0.40664  174813.402224   64093.402225
   55    55    1893172  63873.103429  57974.7392720304260     6.68    11.57          3      0.39883  174825.614385   64105.614385
   56    56    1894860  63930.054556  57974.7399311869820     5.50     6.54          2      0.40631  174922.560960   64162.560960
   57    57    1895184  63940.985939  57974.7400577076220    12.47    13.04          2      0.40792  174933.491470   64173.491470
   58    58    1896847  63997.093293  57974.7407070982910     7.36     7.36          1      0.40619  175029.594340   64229.594340
   59    59    1898624  64057.046954  57974.7414010064130    11.02    15.20          3      0.40739  175129.543210   64289.543210
   60    60    1898845  64064.503045  57974.7414873037700    12.19    12.19          1      0.40261  175136.998704   64296.998705
   61    61    1899359  64081.844876  57974.7416880194050    29.23    36.65          3      0.40731  175154.339149   64314.339150
   62    62    1901788  64163.796080  57974.7426365287040     6.82     8.70          2      0.40622  175316.283804   64396.283805
   63    63    1903088  64207.656155  57974.7431441684610     7.26     8.53          2      0.40031  175400.140375   64440.140375
   64    64    1903499  64221.522854  57974.7433046626560     6.51     9.25          2      0.40339  175414.005964   64454.005965
   65    65    1907987  64372.941784  57974.7450571965700   361.79   414.13          4      0.39653  175645.412794   64605.412795
   66    66    1908642  64395.040725  57974.7453129713540    10.29    10.29          1      0.39994  175707.509969   64627.509970
   67    67    1910202  64447.673086  57974.7459221421950    24.11    29.84          2      0.40075  175800.138124   64680.138125
   68    68    1912316  64518.996711  57974.7467476471170     8.28    13.42          3      0.40300  175911.456050   64751.456050
   69    69    1916331  64654.457516  57974.7483154805120     9.83    11.23          2      0.40403  180126.906029   64886.906030
   70    70    1917712  64701.050830  57974.7488547549820     6.81     8.93          2      0.41014  180213.495620   64933.495620
   71    71    1919534  64762.522757  57974.7495662356100     6.74     8.09          2      0.41192  180314.962635   64994.962635
   72    72    1920372  64790.795356  57974.7498934647680     6.58     7.30          2      0.39981  180343.232974   65023.232975
   73    73    1922967  64878.347318  57974.7509067976700    19.50    21.99          2      0.40308  180510.777939   65110.777940
   74    74    1927774  65040.529053  57974.7527839010820     6.05     7.06          2      0.40100  180752.946714   65272.946715
   75    75    1929634  65103.283042  57974.7535102203900     7.80     7.80          1      0.40289  180855.695690   65335.695690
   76    76    1930539  65133.816562  57974.7538636176130    14.14    15.20          2      0.40350  180926.226770   65366.226770
   77    77    1932184  65189.316817  57974.7545059816700    21.29    26.13          3      0.40758  181021.722589   65421.722590
   78    78    1933272  65226.024445  57974.7549308384900     9.50    15.42          3      0.40600  181058.427284   65458.427285
   79    79    1935262  65293.164370  57974.7557079209470     5.85     7.74          2      0.40500  181205.561844   65525.561845
   80    80    1936686  65341.208164  57974.7562639833730     9.06    11.21          2      0.40289  181253.601800   65573.601800
   81    81    1940732  65477.714797  57974.7578439212540    10.26    12.69          2      0.40158  181510.097525   65710.097525
   82    82    1940951  65485.103627  57974.7579294401280    47.28    53.42          3      0.40339  181517.485765   65717.485765
   83    83    1943548  65572.722723  57974.7589435500290     5.76     7.35          2      0.39650  181645.097859   65805.097860
   84    84    1946889  65685.443940  57974.7602481937540     8.25    10.76          3      0.40569  181837.810070   65917.810070
   85    85    1946995  65689.020255  57974.7602895862910     6.83     8.92          2      0.40617  181841.386100   65921.386100
   86    86    1947568  65708.352430  57974.7605133383170     6.46    10.91          3      0.40367  181900.716730   65940.716730
   87    87    1951747  65849.346235  57974.7621452110590    43.90    50.07          3      0.40039  182121.699269   66081.699270
   88    88    1957792  66053.296541  57974.7645057469950    22.55    26.91          3      0.40114  182445.633279   66285.633280
   89    89    1958337  66071.684305  57974.7647185683460    20.77    24.79          2      0.40653  182504.019574   66304.019575
   90    90    1960015  66128.297673  57974.7653738156540    11.01    14.38          3      0.40297  182600.628419   66360.628420
   91    91    1961680  66184.472506  57974.7660239873410    34.33    38.68          2      0.40108  182656.798764   66416.798765
   92    92    1963060  66231.032136  57974.7665628719490     9.31    14.20          3      0.40881  182743.354674   66463.354675
   93    93    1967437  66378.706084  57974.7682720611580    11.33    12.75          2      0.40214  183011.016824   66611.016825
   94    94    1968705  66421.486891  57974.7687672093950    15.45    20.26          3      0.40717  183053.794215   66653.794215
   95    95    1969223  66438.963557  57974.7689694856190    13.16    20.71          3      0.40814  183111.269484   66671.269485
   96    96    1971391  66512.108741  57974.7698160733950     9.93     9.93          1      0.40042  183224.408825   66744.408825
   97    97    1971746  66524.085838  57974.7699546972030     7.34     7.34          1      0.39650  183236.384965   66756.384965
   98    98    1972634  66554.046116  57974.7703014596740     6.08    10.76          3      0.40664  183306.342850   66786.342850
   99    99    1973541  66584.646791  57974.7706556341630     5.78     7.64          2      0.39767  183336.941080   66816.941080
  100   100    1973930  66597.771594  57974.7708075415940     7.51    11.26          3      0.41114  183350.064834   66830.064835
  101   101    1974787  66626.685419  57974.7711421923580     9.59    11.14          2      0.40483  183418.976349   66858.976350
  102   102    1978963  66767.578209  57974.7727728959360     6.61     6.61          1      0.40731  183639.857885   66999.857885
  103   103    1979603  66789.171109  57974.7730228137600     6.59     8.71          2      0.41189  183701.449059   67021.449060
  104   104    1981850  66864.981675  57974.7739002508670    21.70    22.21          2      0.40494  183817.253570   67097.253570
  105   105    1985803  66998.350548  57974.7754438720770    10.93    13.30          2      0.40189  184030.611789   67230.611790
  106   106    1986322  67015.860982  57974.7756465391490    17.02    21.15          2      0.40356  184048.120825   67248.120825
  107   107    1986658  67027.196987  57974.7757777429120     8.95    11.30          3      0.39797  184059.455925   67259.455925
  108   108    1987161  67044.167853  57974.7759741649660    18.08    19.87          2      0.40722  184116.425434   67276.425435
  109   109    1990521  67157.529703  57974.7772862234110    10.60    14.28          2      0.40461  184309.778229   67389.778230
  110   110    1990804  67167.077696  57974.7773967325950    10.35    14.92          3      0.40306  184319.325459   67399.325460
  111   111    1991354  67185.633928  57974.7776115037950    13.60    23.07          3      0.40194  184337.880210   67417.880210
  112   112    1992464  67223.084099  57974.7780449548540     6.62     7.57          2      0.40914  184415.327390   67455.327390
  113   113    1992998  67241.100493  57974.7782534779260    17.12    17.12          1      0.40728  184433.342344   67473.342345
  114   114    1993378  67253.921217  57974.7784018659330    17.25    20.47          2      0.40811  184446.162045   67486.162045
  115   115    1996000  67342.383928  57974.7794257399040     5.98     5.98          1      0.40553  184614.617689   67574.617690
  116   116    1997989  67409.490267  57974.7802024336510     6.88     6.88          1      0.40900  184721.718670   67641.718670
  117   117    2000438  67492.115981  57974.7811587497730    13.00    13.00          1      0.40000  184844.337784   67724.337785
  118   118    2003358  67590.633140  57974.7822989946750     7.06     7.06          1      0.40683  185022.847074   67822.847075
  119   119    2006600  67700.013750  57974.7835649739520     8.36     9.85          3      0.40194  185212.218949   67932.218950
  120   120    2012506  67899.274213  57974.7858712293120   111.54   126.30          4      0.39761  185531.463499   68131.463500
  121   121    2015348  67995.159665  57974.7869810146430     5.56     5.56          1      0.40161  185707.341295   68227.341295
  122   122    2015542  68001.705082  57974.7870567717890     8.93    11.48          2      0.40517  185713.886190   68233.886190
  123   123    2015883  68013.210011  57974.7871899306880    11.15    12.26          2      0.40639  185725.390199   68245.390200
  124   124    2018367  68097.016778  57974.7881599164160    13.76    18.55          3      0.40328  185849.190275   68329.190275
  125   125    2021227  68193.509193  57974.7892767267710    10.54    10.54          1      0.39756  190025.674985   68425.674985
  126   126    2023239  68261.391693  57974.7900624038530    14.18    20.76          3      0.40608  190133.552064   68493.552065
  127   127    2024105  68290.609341  57974.7904005710720    17.33    18.83          2      0.40494  190202.767380   68522.767380
  128   128    2026154  68359.739836  57974.7912006925440     5.75     6.28          2      0.40333  190311.892355   68591.892355
  129   129    2026675  68377.317754  57974.7914041406720     6.38     8.23          2      0.40553  190329.468869   68609.468870
  130   130    2026893  68384.672881  57974.7914892694530     5.52     7.77          2      0.40839  190336.823409   68616.823410
  131   131    2027797  68415.172572  57974.7918422751360    10.95    19.06          4      0.40611  190407.320665   68647.320665
  132   132    2027857  68417.196728  57974.7918657028740     9.66    13.57          3      0.40142  190409.344660   68649.344660
  133   133    2028457  68437.439959  57974.7920999995260    16.42    24.57          4      0.40206  190429.586274   68669.586275
  134   134    2035658  68680.392421  57974.7949119493250     8.87    11.35          2      0.41014  190832.519339   68912.519340
  135   135    2037961  68758.092299  57974.7958112534660    18.63    22.10          3      0.40142  190950.213015   68990.213015
  136   136    2038548  68777.897015  57974.7960404747140     5.82     5.82          1      0.40494  191010.016149   69010.016150
  137   137    2042712  68918.384735  57974.7976664899970    21.03    23.27          2      0.40122  191230.492654   69150.492655
  138   138    2042990  68927.764254  57974.7977750492420    28.65    30.55          2      0.40617  191239.871425   69159.871425
  139   139    2043733  68952.831795  57974.7980651828100    33.50    37.13          2      0.39747  191304.936965   69184.936965
  140   140    2044347  68973.547713  57974.7983049503870    19.01    21.09          2      0.40867  191325.651230   69205.651230
  141   141    2046633  69050.674225  57974.7991976183420     7.48     8.37          2      0.40558  191442.771584   69282.771585
  142   142    2053301  69275.643566  57974.8018014301700    14.04    18.17          2      0.40158  191827.722970   69507.722970
  143   143    2053553  69284.145655  57974.8018998339710    12.51    12.51          1      0.39986  191836.224379   69516.224380
  144   144    2056060  69368.728656  57974.8028788038910     7.74    12.56          3      0.40411  192000.800629   69600.800630
  145   145    2060331  69512.826556  57974.8045466036610     8.52    11.10          2      0.40472  192224.887029   69744.887030
  146   146    2062482  69585.398567  57974.8053865574910    10.14    13.34          2      0.40836  192337.453250   69817.453250
  147   147    2067437  69752.573598  57974.8073214536830     7.31     8.32          2      0.40531  192624.614939   69984.614940
  148   148    2068301  69781.723944  57974.8076588419460     7.60    11.89          3      0.40919  192653.762959   70013.762960
  149   149    2068736  69796.400100  57974.8078287048580     6.56     8.73          2      0.40406  192708.437944   70028.437945
  150   150    2070337  69850.415535  57974.8084538835070    13.82    18.53          3      0.39878  192802.449070   70082.449070
  151   151    2072428  69920.963375  57974.8092704094340     7.21    15.76          3      0.40678  192912.991280   70152.991280
  152   152    2074548  69992.489417  57974.8100982571390     5.88     9.30          2      0.40814  193024.511614   70224.511615
  153   153    2074599  69994.210059  57974.8101181719810    26.54    29.20          2      0.40742  193026.232120   70226.232120
  154   154    2076565  70060.540326  57974.8108858834050    20.50    23.32          3      0.40822  193132.557094   70292.557095
  155   155    2077841  70103.590746  57974.8113841521540    10.22    13.81          3      0.40453  193215.604080   70335.604080
  156   156    2078373  70121.539743  57974.8115918951680     9.73    13.01          3      0.40503  193233.551644   70353.551645
  157   157    2083175  70283.552678  57974.8134670448900    15.75    15.75          1      0.39964  193515.551655   70515.551655
  158   158    2083249  70286.049808  57974.8134959468540     9.39     9.39          1      0.41347  193518.048584   70518.048585
  159   159    2085680  70368.068016  57974.8144452316670    14.62    25.96          4      0.39850  193640.060249   70600.060250
  160   160    2086411  70392.731128  57974.8147306843520     8.48    10.68          2      0.40250  193704.721395   70624.721395
  161   161    2086773  70404.944487  57974.8148720426750     5.69    10.63          4      0.40144  193716.933780   70636.933780
  162   162    2086999  70412.569681  57974.8149602972290     5.56     6.13          2      0.40878  193724.558365   70644.558365
  163   163    2088754  70471.780789  57974.8156456109820     6.11     8.40          2      0.40103  193823.764750   70703.764750
  164   164    2088774  70472.455593  57974.8156534212220     5.91     5.91          1      0.40194  193824.439499   70704.439500
  165   165    2095729  70707.108340  57974.8183693094910     7.21     8.56          2      0.40967  194219.073529   70939.073530
  166   166    2095969  70715.205396  57974.8184630254210    11.38    14.02          2      0.40297  194227.169940   70947.169940
  167   167    2096074  70718.747873  57974.8185040263040     6.26     8.29          2      0.40033  194230.712134   70950.712135
  168   168    2097397  70763.384323  57974.8190206518780     6.63     7.42          2      0.40575  194315.345025   70995.345025
  169   169    2097511  70767.230355  57974.8190651661440     6.37    12.48          4      0.40067  194319.190749   70999.190750
  170   170    2097574  70769.356260  57974.8190897715200     7.82    10.35          2      0.41142  194321.316485   71001.316485
  171   171    2097672  70772.662013  57974.8191280325500     5.81     6.16          2      0.39256  194324.621975   71004.621975
  172   172    2098333  70794.963822  57974.8193861553410    13.79    18.56          3      0.40867  194346.922005   71026.922005
  173   173    2100725  70875.666589  57974.8203202151550     8.72    11.17          2      0.40439  194507.618335   71107.618335
  174   174    2101809  70912.239220  57974.8207435094910    12.86    13.47          2      0.40181  194544.188049   71144.188050
  175   175    2107239  71095.440315  57974.8228638925310    11.45    13.03          2      0.40425  194847.374534   71327.374535
  176   176    2108545  71139.502869  57974.8233738758020     5.80     5.80          1      0.39961  194931.433575   71371.433575
  177   177    2111099  71225.671680  57974.8243712000000    70.17    80.77          3      0.40656  195057.595514   71457.595515
  178   178    2114929  71354.890743  57974.8258667910020     5.60     8.19          2      0.40467  195306.804275   71586.804275
  179   179    2119239  71500.304337  57974.8275498187140     7.03    12.84          3      0.40175  195532.206275   71732.206275
  180   180    2119243  71500.439358  57974.8275513814530    11.66    14.31          3      0.40372  195532.341285   71732.341285
  181   181    2119340  71503.711919  57974.8275892583170     5.64     8.53          3      0.40103  195535.613584   71735.613585
  182   182    2120266  71534.954244  57974.8279508593020    13.38    19.64          3      0.41044  195606.853419   71766.853420
  183   183    2122441  71608.335470  57974.8288001790460     6.96    15.03          4      0.39858  195720.228795   71840.228795
  184   184    2124157  71666.231225  57974.8294702688130     7.48     7.48          1      0.40417  195818.119934   71898.119935
  185   185    2128606  71816.334525  57974.8312075755260   186.62   210.18          4      0.40233  200048.211269   72048.211270
  186   186    2128961  71828.311805  57974.8313462014460     8.52     8.52          1      0.40364  200100.187594   72060.187595
  187   187    2129044  71831.112288  57974.8313786144380     7.09     7.11          2      0.40878  200102.987854   72062.987855
  188   188    2134062  72000.412893  57974.8333381121790    55.84    62.12          3      0.40669  200352.274965   72232.274965
  189   189    2135733  72056.790091  57974.8339906260480    23.70    28.03          3      0.40303  200448.647670   72288.647670
  190   190    2137524  72117.216042  57974.8346900004860     6.00     6.00          1      0.40233  200549.068805   72349.068805
  191   191    2139819  72194.646173  57974.8355861825540    11.65    17.96          3      0.39847  200706.492765   72426.492765
  192   192    2141534  72252.508289  57974.8362558829700     5.57    13.16          4      0.40714  200804.350269   72484.350270
  193   193    2142841  72296.604708  57974.8367662581890    10.59    10.59          1      0.40608  200848.443174   72528.443175
  194   194    2143004  72302.104056  57974.8368299080580    23.48    50.20          6      0.40444  200853.942085   72533.942085
  195   195    2144976  72368.636488  57974.8375999593600     6.50     7.14          2      0.39739  201000.469215   72600.469215
  196   196    2145961  72401.869126  57974.8379845963650     7.60     8.55          2      0.39867  201033.699204   72633.699205
  197   197    2145988  72402.780254  57974.8379951418370    10.55    12.82          2      0.40425  201034.610260   72634.610260
  198   198    2146549  72421.708152  57974.8382142147200     5.53     7.69          2      0.41911  201053.536649   72653.536650
  199   199    2146717  72427.375579  57974.8382798099460     8.25     8.25          1      0.39906  201059.203624   72659.203625
  200   200    2150064  72540.299201  57974.8395867963010    10.26    12.49          2      0.40733  201252.118249   72772.118250
  201   201    2155126  72711.084353  57974.8415634763140     8.75    19.55          4      0.40639  201542.889794   72942.889795
  202   202    2155182  72712.973804  57974.8415853449600    11.37    13.21          2      0.40892  201544.779095   72944.779095
  203   203    2158492  72824.648525  57974.8428778764540    28.90    32.60          2      0.40028  201736.444919   73056.444920
