yyyy doy mn dd    MJD                 P0ms           Pdot0                  nu0            nudot0_15       tJPLms        SNthr 
2017 221 08 09  57974     33.7386455638600   4.196976E-013     29.6396012136058        -368706.86500       5.4986        50.00 
nGRPmax
     16
 nGRP  nORG  NSEQpulse        TDBsec                  MJD   peakSN    sumSN  Nsubpulse        phase       UThhmmss          UTsec
    0     5    1792164  60465.227785  57974.6998290252930    52.19    64.82          4      0.40183  165138.011064   60698.011065
    1    65    1907987  64372.941784  57974.7450571965700   361.79   414.13          4      0.39653  175645.412794   64605.412795
    2   120    2012506  67899.274213  57974.7858712293120   111.54   126.30          4      0.39761  185531.463499   68131.463500
    3   177    2111099  71225.671680  57974.8243712000000    70.17    80.77          3      0.40656  195057.595514   71457.595515
    4   185    2128606  71816.334525  57974.8312075755260   186.62   210.18          4      0.40233  200048.211269   72048.211270
    5   188    2134062  72000.412893  57974.8333381121790    55.84    62.12          3      0.40669  200352.274965   72232.274965
    6   208    2166635  73099.382869  57974.8460576721020   124.39   138.91          3      0.40931  202211.157380   73331.157380
    7   303    2331071  78647.235957  57974.9102689346940    76.93    88.96          3      0.40706  215438.569495   78878.569495
    8   304    2331148  78649.833683  57974.9102990009600    64.82    76.67          3      0.40253  215441.167014   78881.167015
    9   316    2358005  79555.953631  57974.9207865003520    51.37    60.92          4      0.41017  220947.215129   79787.215130
   10   317    2358746  79580.953857  57974.9210758548350    63.09    70.49          3      0.40603  221012.213375   79812.213375
   11   361    2430996  82018.573345  57974.9492890433410    76.26    83.60          2      0.40294  225049.639915   82249.639915
   12   375    2448130  82596.651904  57974.9559797674110   114.49   132.16          3      0.40350  230027.672779   82827.672780
   13   393    2468855  83295.886102  57974.9640727558020    79.60    88.01          3      0.40492  231206.851739   83526.851740
   14   406    2489970  84008.278573  57974.9723180390400   120.11   142.62          4      0.41169  232359.187969   84239.187970
   15   459    2551253  86075.885959  57974.9962486800770    73.36    78.98          3      0.40508  235826.632335   86306.632335
   16   460    2551849  86095.994373  57974.9964814163580    58.31    75.22          5      0.40981  235846.739165   86326.739165
