yyyy doy mn dd    MJD                 P0ms           Pdot0                  nu0            nudot0_15       tJPLms        SNthr 
2017 221 08 09  57974     33.7386455638600   4.196976E-013     29.6396012136058        -368706.86500       5.4986         0.00 
nGRPmax
   7372
 nGRP  nORG  NSEQpulse        TDBsec                  MJD   peakSN    sumSN  Nsubpulse        phase       UThhmmss          UTsec
    0     0    1786153  60262.411122  57974.6974816102140     9.25    13.66          3      0.00136  164815.210605   60495.210605
    1     1    1786306  60267.573194  57974.6975413564160     5.53     5.53          1      0.00300  164820.372264   60500.372265
    2     2    1786315  60267.876908  57974.6975448716160     6.94     6.94          1      0.00497  164820.675954   60500.675955
    3     3    1786605  60277.660940  57974.6976581127300     6.98    11.51          3     -0.00044  164830.459204   60510.459205
    4     4    1786740  60282.215699  57974.6977108298500     6.64    11.43          3      0.00083  164835.013599   60515.013600
    5     5    1786743  60282.316927  57974.6977120014720     5.65     5.65          1      0.00119  164835.114820   60515.114820
    6     6    1786760  60282.890608  57974.6977186412930     6.94     9.23          2      0.00469  164835.688455   60515.688455
    7     7    1786833  60285.353369  57974.6977471454720    10.39    12.48          2      0.00008  164838.151019   60518.151020
    8     8    1786878  60286.871671  57974.6977647184130     6.01     8.75          2      0.00189  164839.669199   60519.669200
    9     9    1786929  60288.592043  57974.6977846301310    18.43    23.58          4     -0.00717  164841.389434   60521.389435
   10    10    1786971  60290.009286  57974.6978010334080    11.73    12.73          2     -0.00067  164842.806564   60522.806565
   11    11    1787030  60291.999840  57974.6978240722180     8.44    13.50          3     -0.00133  164844.796959   60524.796960
   12    12    1787109  60294.665343  57974.6978549229570    15.79    39.50          5      0.00306  164847.462249   60527.462250
   13    13    1787186  60297.263051  57974.6978849890180     7.39     9.57          2     -0.00197  164850.059750   60530.059750
   14    14    1787356  60302.998689  57974.6979513737220    10.21    11.37          2     -0.00008  164855.794929   60535.794930
   15    15    1787464  60306.642500  57974.6979935474560     6.20     9.69          2      0.00094  164859.438450   60539.438450
   16    16    1787611  60311.602031  57974.6980509494270    12.52    15.10          2     -0.00081  164904.397584   60544.397585
   17    17    1787665  60313.423937  57974.6980720363010    13.88    19.47          3     -0.00028  164906.219344   60546.219345
   18    18    1787923  60322.128307  57974.6981727813380    24.12    29.17          2     -0.00625  164914.923020   60554.923020
   19    19    1788035  60325.907019  57974.6982165164290     8.61     9.07          2     -0.00681  164918.701430   60558.701430
   20    20    1788036  60325.940927  57974.6982169088770     9.88    12.72          2     -0.00197  164918.735334   60558.735335
   21    21    1788128  60329.045050  57974.6982528362240     6.20     6.20          1      0.00308  164921.839209   60561.839210
   22    22    1788191  60331.170430  57974.6982774355330     8.42    12.82          3     -0.00156  164923.964419   60563.964420
   23    23    1788217  60332.047570  57974.6982875876100     8.23    14.39          4     -0.00347  164924.841489   60564.841490
   24    24    1788312  60335.252721  57974.6983246842750    10.75    13.03          2     -0.00431  164928.046385   60568.046385
   25    25    1788380  60337.547049  57974.6983512389890    27.08    32.17          2     -0.00122  164930.340530   60570.340530
   26    26    1788408  60338.491780  57974.6983621733760     5.65     5.65          1      0.00003  164931.285185   60571.285185
   27    27    1788705  60348.511920  57974.6984781472260     5.54     5.54          1     -0.00722  164941.304524   60581.304525
   28    28    1788739  60349.659342  57974.6984914275710    10.26    23.90          4      0.00186  164942.451854   60582.451855
   29    29    1788902  60355.158731  57974.6985550779010     8.58    15.02          3      0.00144  164947.950805   60587.950805
   30    30    1788942  60356.508144  57974.6985706961150     5.62    10.99          3     -0.00236  164949.300109   60589.300110
   31    31    1788966  60357.318149  57974.6985800711680     7.53     7.53          1      0.00583  164950.110050   60590.110050
   32    32    1789018  60359.072414  57974.6986003751550    10.57    35.15          6      0.00136  164951.864175   60591.864175
   33    33    1789104  60361.974041  57974.6986339588100     6.05    21.13          6      0.00450  164954.765570   60594.765570
   34    34    1789177  60364.436932  57974.6986624644860    14.24    17.07          2      0.00342  164957.228264   60597.228265
   35    35    1789218  60365.820093  57974.6986784733060     7.55    19.39          5     -0.00028  164958.611315   60598.611315
   36    36    1789281  60367.945733  57974.6987030756100     9.02    11.75          2      0.00278  165000.736785   60600.736785
   37    37    1789420  60372.635277  57974.6987573527420     8.15    11.87          3     -0.00108  165005.425954   60605.425955
   38    38    1789441  60373.343799  57974.6987655532290     7.46     9.50          2     -0.00064  165006.134420   60606.134420
   39    39    1789470  60374.322342  57974.6987768789500    29.59    45.65          4      0.00281  165007.112885   60607.112885
   40    40    1789612  60379.113185  57974.6988323285380    21.71    30.19          3      0.00136  165011.903344   60611.903345
   41    41    1789829  60386.434490  57974.6989170658560     5.83    11.90          3      0.00175  165019.224065   60619.224065
   42    42    1789868  60387.750310  57974.6989322952580     5.77     5.77          1      0.00228  165020.539779   60620.539780
   43    43    1789902  60388.897286  57974.6989455704450    84.86   105.05          4     -0.00197  165021.686665   60621.686665
   44    44    1789982  60391.596392  57974.6989768100860     8.67    11.09          2     -0.00161  165024.385555   60624.385555
   45    45    1790271  60401.346866  57974.6990896627970     9.42     9.42          1     -0.00153  165034.135249   60634.135250
   46    46    1790334  60403.472471  57974.6991142647040     5.96     8.76          2      0.00036  165036.260685   60636.260685
   47    47    1790363  60404.450939  57974.6991255895680     6.46     9.68          2      0.00172  165037.239074   60637.239075
   48    48    1790366  60404.552177  57974.6991267613060     8.62    16.55          4      0.00239  165037.340304   60637.340305
   49    49    1790527  60409.984026  57974.6991896299260     6.56    12.30          3      0.00028  165042.771719   60642.771720
   50    50    1790689  60415.449533  57974.6992528881150    10.33    18.70          3     -0.00442  165048.236790   60648.236790
   51    51    1790774  60418.317437  57974.6992860814460     7.29    13.87          3     -0.00111  165051.104464   60651.104465
   52    52    1790781  60418.553681  57974.6992888157570     6.98     8.33          2      0.00122  165051.340689   60651.340690
   53    53    1790938  60423.850459  57974.6993501210500   348.82   404.79          4     -0.00467  165056.637045   60656.637045
   54    54    1791031  60426.988325  57974.6993864389500    15.83    21.53          3      0.00053  165059.774660   60659.774660
   55    55    1791231  60433.736034  57974.6994645374340    10.78    11.16          2     -0.00022  165106.521829   60666.521830
   56    56    1791386  60438.965636  57974.6995250652290    10.91    33.07          6      0.00283  165111.751015   60671.751015
   57    57    1791418  60440.045333  57974.6995375617280     5.90    13.67          4      0.00458  165112.830625   60672.830625
   58    58    1791477  60442.035827  57974.6995605998460    45.44    53.16          3      0.00214  165114.820959   60674.820960
   59    59    1791593  60445.949319  57974.6996058948990    28.88    31.95          2     -0.00358  165118.734140   60678.734140
   60    60    1791608  60446.455515  57974.6996117536510     5.61     8.67          3     -0.00033  165119.240295   60679.240295
   61    61    1791742  60450.976456  57974.6996640793470    33.00    36.82          2     -0.00153  165123.760874   60683.760875
   62    62    1791961  60458.365351  57974.6997495989760     6.73    10.14          3      0.00239  165131.149180   60691.149180
   63    63    1792157  60464.978210  57974.6998261366910     6.47    11.36          3      0.00472  165137.761509   60697.761510
   64    64    1792237  60467.677275  57974.6998573758720     8.50    13.78          3      0.00389  165140.460359   60700.460360
   65    65    1792446  60474.728439  57974.6999389865600    11.74    30.37          4     -0.00261  165147.510959   60707.510960
   66    66    1792487  60476.111894  57974.6999549987710     9.01    11.31          2      0.00228  165148.894305   60708.894305
   67    67    1792731  60484.344172  57974.7000502797700    58.36   106.36          6      0.00353  165157.125925   60717.125925
   68    68    1792781  60486.030947  57974.7000698026240    21.54    25.72          3     -0.00119  165158.812565   60718.812565
   69    69    1792793  60486.435914  57974.7000744897410     8.70    13.92          3      0.00203  165159.217499   60719.217500
   70    70    1792802  60486.739548  57974.7000780040190     7.99     8.10          2      0.00161  165159.521110   60719.521110
   71    71    1792939  60491.361698  57974.7001315011330    41.15    56.59          3      0.00019  165204.142890   60724.142890
   72    72    1792988  60493.014780  57974.7001506340350     7.74    18.03          4     -0.00317  165205.795839   60725.795840
   73    73    1793062  60495.511614  57974.7001795325700     6.23     6.23          1      0.00181  165208.292475   60728.292475
   74    74    1793102  60496.860967  57974.7001951500800   130.39   288.67          7     -0.00378  165209.641719   60729.641720
   75    75    1793190  60499.830034  57974.7002295142780     6.99     8.10          2     -0.00189  165212.610549   60732.610550
   76    76    1793368  60505.835684  57974.7002990241280     6.28    14.51          4      0.00306  165218.615720   60738.615720
   77    77    1793502  60510.356730  57974.7003513510400    32.45    40.64          3      0.00478  165223.136404   60743.136405
   78    78    1793515  60510.795200  57974.7003564259330     6.82    11.91          3      0.00103  165223.574840   60743.574840
   79    79    1793740  60518.386477  57974.7004442879230    10.62    34.38          6      0.00325  165231.165509   60751.165510
   80    80    1793938  60525.066645  57974.7005216046850     5.88    13.64          4      0.00047  165237.845144   60757.845145
   81    81    1794002  60527.226033  57974.7005465976060     6.97     8.60          2      0.00397  165240.004359   60760.004360
   82    82    1794035  60528.339327  57974.7005594829570    27.28    30.38          2      0.00139  165241.117565   60761.117565
   83    83    1794080  60529.857468  57974.7005770540290     5.80    13.21          4     -0.00156  165242.635585   60762.635585
   84    84    1794249  60535.559469  57974.7006430494080    14.85    21.57          4      0.00350  165248.337129   60768.337130
   85    85    1794486  60543.555567  57974.7007355968380    19.35    28.17          4      0.00450  165256.332589   60776.332590
   86    86    1794523  60544.803852  57974.7007500445820     7.69    16.49          5      0.00297  165257.580775   60777.580775
   87    87    1794665  60549.594550  57974.7008054924670     7.39     7.39          1     -0.00258  165302.371090   60782.371090
   88    88    1794705  60550.944258  57974.7008211140990    18.41    24.27          2      0.00217  165303.720690   60783.720690
   89    89    1794772  60553.204843  57974.7008472782720    15.56    21.75          3      0.00483  165305.981095   60785.981095
   90    90    1794828  60555.094074  57974.7008691443710     6.91    24.63          7      0.00083  165307.870174   60787.870175
   91    91    1794876  60556.713414  57974.7008878867330     8.52    10.79          2     -0.00264  165309.489385   60789.489385
   92    92    1794945  60559.041480  57974.7009148319360     8.44    18.32          5      0.00025  165311.817264   60791.817265
   93    93    1794949  60559.176550  57974.7009163952510    16.40    30.42          5      0.00369  165311.952324   60791.952325
   94    94    1794982  60560.289779  57974.7009292798460     5.69     8.39          2     -0.00067  165313.065464   60793.065465
   95    95    1795049  60562.550280  57974.7009554430590    11.78    22.09          5     -0.00036  165315.325785   60795.325785
   96    96    1795083  60563.697292  57974.7009687186560     6.23     6.45          2     -0.00344  165316.472705   60796.472705
   97    97    1795531  60578.812314  57974.7011436610430     6.60    14.75          4     -0.00036  165331.586519   60811.586520
   98    98    1795539  60579.082296  57974.7011467858300     6.95    10.04          2      0.00178  165331.856480   60811.856480
   99    99    1795568  60580.060599  57974.7011581087870     6.46     8.83          2     -0.00189  165332.834705   60812.834705
  100   100    1795634  60582.287537  57974.7011838835330    15.51    37.77          5      0.00361  165335.061464   60815.061465
  101   101    1795871  60590.283471  57974.7012764290690     6.51     6.51          1     -0.00011  165343.056759   60823.056760
  102   102    1796038  60595.917996  57974.7013416434690     8.87    15.24          3      0.00467  165348.690835   60828.690835
  103   103    1796157  60599.932747  57974.7013881105020     5.75    13.63          4      0.00019  165352.705264   60832.705265
  104   104    1796192  60601.113606  57974.7014017778430    20.69    30.75          3      0.00053  165353.886030   60833.886030
  105   105    1796410  60608.468744  57974.7014869067520     7.24    15.47          3      0.00372  165401.240579   60841.240580
  106   106    1796534  60612.652358  57974.7015353282180    25.62    53.77          6      0.00428  165405.423860   60845.423860
  107   107    1796571  60613.900593  57974.7015497753860     5.65     8.39          2      0.00128  165406.671994   60846.671995
  108   108    1796852  60623.380960  57974.7016595018500    11.73    30.68          7     -0.00464  165416.151604   60856.151605
  109   109    1796887  60624.562019  57974.7016731715200    12.66    14.93          2      0.00164  165417.332569   60857.332570
  110   110    1796951  60626.720912  57974.7016981586940     8.32    13.14          3     -0.00969  165419.491289   60859.491290
  111   111    1797089  60631.377279  57974.7017520518400    19.06    31.71          3      0.00289  165424.147284   60864.147285
  112   112    1797445  60643.388103  57974.7018910660100    10.13    12.99          2     -0.00117  165436.157149   60876.157150
  113   113    1797547  60646.829578  57974.7019308978940    49.00    76.22          6      0.00269  165439.598350   60879.598350
  114   114    1797740  60653.341039  57974.7020062620290    14.42    41.41          5     -0.00036  165446.109290   60886.109290
  115   115    1797955  60660.594883  57974.7020902185600     6.16     6.16          1      0.00039  165453.362554   60893.362555
  116   116    1798030  60663.125215  57974.7021195048060     5.88     7.51          2     -0.00164  165455.892684   60895.892685
  117   117    1798129  60666.465627  57974.7021581669760    17.61    27.34          4      0.00692  165459.232830   60899.232830
  118   118    1798280  60671.559944  57974.7022171289730    17.83    21.67          2      0.00033  165504.326739   60904.326740
  119   119    1798315  60672.740924  57974.7022307977340     7.98    18.54          5      0.00389  165505.507624   60905.507625
  120   120    1798319  60672.875844  57974.7022323593090    10.58    13.84          2      0.00289  165505.642534   60905.642535
  121   121    1798457  60677.531746  57974.7022862470660    17.18    35.46          6      0.00186  165510.298065   60910.298065
  122   122    1798458  60677.565549  57974.7022866382980     8.14    17.08          3      0.00378  165510.331865   60910.331865
  123   123    1798601  60682.390005  57974.7023424769020    10.14    27.16          6     -0.00142  165515.155935   60915.155935
  124   124    1798698  60685.662701  57974.7023803553410    12.77    14.83          2      0.00011  165518.428370   60918.428370
  125   125    1798711  60686.101221  57974.7023854307970     8.44    13.28          3     -0.00250  165518.866855   60918.866855
  126   126    1798726  60686.607401  57974.7023912893700     5.67     5.67          1      0.00047  165519.372994   60919.372995
  127   127    1798729  60686.708640  57974.7023924611070    28.35    43.88          5      0.00111  165519.474224   60919.474225
  128   128    1799092  60698.955773  57974.7025342103420     5.99    12.04          3      0.00117  165531.720379   60931.720380
  129   129    1799134  60700.372601  57974.7025506088060    14.93    18.32          3     -0.00481  165533.137094   60933.137095
  130   130    1799250  60704.286469  57974.7025959082110    21.02    29.07          4      0.00075  165537.050649   60937.050650
  131   131    1799382  60708.740005  57974.7026474537600    23.78    41.84          5      0.00167  165541.503830   60941.503830
  132   132    1799490  60712.383861  57974.7026896280190     5.92     8.12          2      0.00386  165545.147394   60945.147395
  133   133    1799501  60712.754971  57974.7026939232770     6.74    20.06          5      0.00339  165545.518474   60945.518475
  134   134    1799573  60715.184055  57974.7027220376700     6.84     7.98          2      0.00042  165547.947364   60947.947365
  135   135    1799702  60719.536402  57974.7027724120580     5.85    14.12          4      0.00219  165552.299364   60952.299365
  136   136    1799711  60719.839997  57974.7027759258880     7.36    11.44          3      0.00058  165552.602935   60952.602935
  137   137    1799712  60719.873659  57974.7027763154940     8.57    12.86          3     -0.00167  165552.636595   60952.636595
  138   138    1799727  60720.379930  57974.7027821751170    10.59    22.99          5      0.00397  165553.142825   60953.142825
  139   139    1799831  60723.888645  57974.7028227852420     6.44     8.98          2      0.00097  165556.651259   60956.651260
  140   140    1799853  60724.630654  57974.7028313733120     9.76    13.25          3     -0.00617  165557.393210   60957.393210
  141   141    1799959  60728.206995  57974.7028727661440     7.19    11.52          2     -0.00511  165600.969264   60960.969265
