yyyy doy mn dd    MJD                 P0ms           Pdot0                  nu0            nudot0_15       tJPLms        SNthr 
2017 221 08 09  57974     33.7386455638600   4.196976E-013     29.6396012136058        -368706.86500       5.4986        50.00 
nGRPmax
    222
 nGRP  nORG  NSEQpulse        TDBsec                  MJD   peakSN    sumSN  Nsubpulse        phase       UThhmmss          UTsec
    0    43    1789902  60388.897286  57974.6989455704450    84.86   105.05          4     -0.00197  165021.686665   60621.686665
    1    53    1790938  60423.850459  57974.6993501210500   348.82   404.79          4     -0.00467  165056.637045   60656.637045
    2    67    1792731  60484.344172  57974.7000502797700    58.36   106.36          6      0.00353  165157.125925   60717.125925
    3    74    1793102  60496.860967  57974.7001951500800   130.39   288.67          7     -0.00378  165209.641719   60729.641720
    4   175    1802942  60828.849681  57974.7040376120450   219.23   247.30          3      0.00189  165741.603909   61061.603910
    5   209    1807298  60975.815074  57974.7057386003970    50.17    66.79          4     -0.00581  170008.557560   61208.557560
    6   216    1808135  61004.054615  57974.7060654469380    85.80   139.07          6      0.00217  170036.794844   61236.794845
    7   302    1817056  61305.037129  57974.7095490408450   109.15   132.32          3     -0.00278  170537.753310   61537.753310
    8   353    1823419  61519.716523  57974.7120337560580    63.98    96.51          4      0.00400  170912.415549   61752.415550
    9   445    1834456  61892.090105  57974.7163436354690   144.61   174.60          4     -0.00019  171524.759375   62124.759375
   10   465    1836238  61952.212444  57974.7170394958850    54.20    59.25          2      0.00078  171624.876909   62184.876910
   11   518    1842028  62147.559425  57974.7193004563070    54.19    61.01          3      0.00289  171940.208279   62380.208280
   12   548    1846041  62282.952514  57974.7208675059460   209.32   241.44          4     -0.00303  172155.590550   62515.590550
   13   568    1849120  62386.834026  57974.7220698382720   128.49   161.66          4      0.00117  172339.463759   62619.463760
   14   588    1851255  62458.866023  57974.7229035419260    74.60    82.51          3     -0.00083  172451.489999   62691.490000
   15   612    1853330  62528.873717  57974.7237138161660    84.20    95.46          3     -0.00231  172601.492100   62761.492100
   16   634    1856375  62631.607962  57974.7249028699260    91.56   107.48          3     -0.00278  172744.218135   62864.218135
   17   635    1856776  62645.137374  57974.7250594603520    75.82    95.07          3      0.00328  172757.746464   62877.746465
   18   653    1858792  62713.154274  57974.7258466929790    87.94   107.78          4     -0.00433  172905.757929   62945.757930
   19   670    1861426  62802.021836  57974.7268752527360   105.78   124.10          4     -0.00728  173034.618390   63034.618390
   20   671    1861766  62813.493328  57974.7270080246270   113.70   135.89          6      0.00272  173046.088965   63046.088965
