yyyy doy mn dd    MJD                 P0ms           Pdot0                  nu0            nudot0_15       tJPLms        SNthr 
2018 003 01 03  58121     33.7439688099380   4.210078E-013     29.6349254479363        -369741.19608      20.5276         5.5 
nGRPmax
    534
 nGRP  nORG  NSEQpulse        TDBsec                  MJD   peakSN    sumSN  Nsubpulse        phase       UThhmmss          UTsec
    0     0     976449  32949.305347  58121.3813577007740     6.51    10.82          3      0.39847   90012.062014   32412.062015
    1     1     977009  32968.202315  58121.3815764156800     6.28     6.28          1      0.40847   90030.959569   32430.959570
    2     2     977526  32985.647803  58121.3817783310460    27.82    33.09          2      0.40400   90048.405599   32448.405600
    3     3     982022  33137.360857  58121.3835342691840    14.56    16.77          2      0.40722   90320.123370   32600.123370
    4     4     982992  33170.092500  58121.3839131076350     7.83    10.42          2      0.40658   90352.856029   32632.856030
    5     5     984362  33216.321493  58121.3844481654270     6.86    12.10          4      0.39878   90439.086459   32679.086460
    6     6     987168  33311.007454  58121.3855440677630    12.59    17.73          3      0.40903   90613.775365   32773.775365
    7     7     991301  33450.471197  58121.3871582314500   124.28   136.66          3      0.40492   90833.243445   32913.243445
    8     8     992141  33478.816110  58121.3874862975740    22.32    28.85          3      0.40397   90901.589240   32941.589240
    9     9     992294  33483.978855  58121.3875460515580     9.42    11.84          2      0.40144   90906.752144   32946.752145
   10    10     993708  33531.693056  58121.3880982992510    85.33   104.44          4      0.40764   90954.467830   32994.467830
   11    11     995566  33594.389365  58121.3888239509890     6.79     9.10          2      0.40733   91057.166089   33057.166090
   12    12     996319  33619.798000  58121.3891180324100     5.55     5.61          2      0.39000   91122.575514   33082.575515
   13    13     996690  33632.317675  58121.3892629360510     5.57     6.99          2      0.40950   91135.095580   33095.095580
   14    14     996948  33641.023349  58121.3893636961660    10.44    10.68          2      0.40139   91143.801525   33103.801525
   15    15     998023  33677.298216  58121.3897835441660     6.91     9.32          2      0.40392   91220.077519   33140.077520
   16    16     998785  33703.011246  58121.3900811486850     8.74     8.74          1      0.40731   91245.791349   33165.791350
   17    17    1007367  33992.602003  58121.3934328935550    18.01    21.97          2      0.40419   91735.391120   33455.391120
   18    18    1007789  34006.841724  58121.3935977051390     9.88    14.81          3      0.39708   91749.631285   33469.631285
   19    19    1008230  34021.722881  58121.3937699407490     6.88     7.31          2      0.39889   91804.512905   33484.512905
   20    20    1009697  34071.225220  58121.3943428844930     5.91     8.40          2      0.39636   91854.016784   33534.016785
   21    21    1010050  34083.136964  58121.3944807518980     9.30    19.45          5      0.39986   91905.928899   33545.928900
   22    22    1011627  34136.351422  58121.3950966599810    17.90    19.19          2      0.40569   91959.145015   33599.145015
   23    23    1014899  34246.761569  58121.3963745552000     7.39     9.78          2      0.40075   92149.558599   33709.558600
   24    24    1015021  34250.878470  58121.3964222045060    12.96    15.68          2      0.40478   92153.675629   33713.675630
