yyyy doy mn dd    MJD                 P0ms           Pdot0                  nu0            nudot0_15       tJPLms        SNthr 
2018 003 01 03  58121     33.7439688099380   4.210078E-013     29.6349254479363        -369741.19608      20.5276         5.5 
nGRPmax
   7961
 nGRP  nORG  NSEQpulse        TDBsec                  MJD   peakSN    sumSN  Nsubpulse        phase       UThhmmss          UTsec
    0     0     976335  32945.445197  58121.3813130231170     8.04    16.32          4      0.00328   90008.201744   32408.201745
    1     1     976346  32945.816370  58121.3813173190910     9.56    12.01          2      0.00297   90008.572929   32408.572930
    2     2     976479  32950.304286  58121.3813692625660    13.70    17.07          2      0.00194   90013.060985   32413.060985
    3     3     977000  32967.884865  58121.3815727414910    23.64    54.03          4      0.00089   90030.642110   32430.642110
    4     4     977002  32967.952408  58121.3815735232380    18.40    27.48          4      0.00250   90030.709654   32430.709655
    5     5     977261  32976.691966  58121.3816746755330     8.43    15.41          3     -0.00144   90039.449485   32439.449485
    6     6     977284  32977.468207  58121.3816836598020    20.92    22.93          2      0.00239   90040.225750   32440.225750
    7     7     977405  32981.551130  58121.3817309158530     5.54    11.32          3     -0.00053   90044.308799   32444.308800
    8     8     977411  32981.753679  58121.3817332601730    17.30    30.80          4      0.00197   90044.511354   32444.511355
    9     9     977552  32986.511551  58121.3817883281410    22.72    36.22          3      0.00111   90049.269374   32449.269375
   10    10     977584  32987.591207  58121.3818008241540     8.47     8.47          1     -0.00336   90050.349064   32450.349065
   11    11     977624  32988.940965  58121.3818164463490    36.52    39.03          2     -0.00342   90051.698864   32451.698865
   12    12     978424  33015.936136  58121.3821288904700     7.58    15.05          3     -0.00386   90118.694875   32478.694875
   13    13     978683  33024.675985  58121.3822300461310     7.11     7.11          1      0.00081   90127.434994   32487.434995
   14    14     978712  33025.654619  58121.3822413729020     5.90     9.54          3      0.00256   90128.413659   32488.413660
   15    15     978917  33032.572124  58121.3823214366210     6.18    14.00          3      0.00219   90135.331379   32495.331380
   16    16     979104  33038.882183  58121.3823944697090    10.68    17.16          3      0.00025   90141.641634   32501.641635
   17    17     979161  33040.805468  58121.3824167299580     6.24     8.59          2     -0.00336   90143.564979   32503.564980
   18    18     979218  33042.728894  58121.3824389918340     6.29    14.90          4     -0.00281   90145.488464   32505.488465
   19    19     979417  33049.443995  58121.3825167129090     8.79    16.52          4     -0.00136   90152.203775   32512.203775
   20    20     979629  33056.597743  58121.3825995109120     6.16    13.47          4     -0.00069   90159.357745   32519.357745
   21    21     979650  33057.306456  58121.3826077136130    28.54    49.37          5      0.00197   90200.066480   32520.066480
   22    22     979770  33061.355735  58121.3826545802620     8.56    10.89          2      0.00200   90204.115884   32524.115885
   23    23     979814  33062.840384  58121.3826717637120     9.07    14.62          3     -0.00056   90205.600579   32525.600580
   24    24     979852  33064.122544  58121.3826866035200    37.17    37.17          1     -0.00386   90206.882779   32526.882780
   25    25     979918  33066.349895  58121.3827123830400     6.56    18.65          5      0.00350   90209.110199   32529.110200
   26    26     979934  33066.889463  58121.3827186280450    19.81    21.99          2     -0.00644   90209.649785   32529.649785
   27    27     979958  33067.699453  58121.3827280029310     7.63    20.50          5     -0.00247   90210.459800   32530.459800
   28    28     980410  33082.951814  58121.3829045348860    19.40    28.23          4     -0.00008   90225.712634   32545.712635
   29    29     980478  33085.246457  58121.3829310932480    11.00    20.22          3      0.00150   90228.007349   32548.007350
   30    30     980588  33088.958287  58121.3829740542460    33.72    46.33          4      0.00125   90231.719294   32551.719295
   31    31     980715  33093.243674  58121.3830236536320     5.58    15.50          5     -0.00169   90236.004815   32556.004815
   32    32     980723  33093.513560  58121.3830267773180     8.37     9.49          2     -0.00364   90236.274710   32556.274710
   33    33     980992  33102.590688  58121.3831318366590    32.69    35.35          2     -0.00372   90245.352119   32565.352120
   34    34     981036  33104.075417  58121.3831490210300     7.23     9.63          2     -0.00392   90246.836895   32566.836895
   35    35     981133  33107.348795  58121.3831869073540    66.16    89.82          5      0.00236   90250.110375   32570.110375
   36    36     981193  33109.373387  58121.3832103401340     7.60    12.21          3      0.00097   90252.135030   32572.135030
   37    37     981544  33121.217314  58121.3833474226180    15.10    21.18          3     -0.00528   90303.979325   32583.979325
   38    38     981563  33121.858594  58121.3833548448380     9.65    11.68          2     -0.00100   90304.620624   32584.620625
   39    39     981613  33123.545692  58121.3833743714300     5.61     7.24          2     -0.00403   90306.307775   32586.307775
   40    40     981653  33124.895530  58121.3833899945600    37.71    43.66          3     -0.00169   90307.657654   32587.657655
   41    41     981823  33130.632092  58121.3834563899520     8.35     9.77          2      0.00083   90313.394394   32593.394395
   42    42     981857  33131.779556  58121.3834696707840     5.92     8.31          2      0.00583   90314.541894   32594.541895
   43    43     982154  33141.801354  58121.3835856638210    21.57    24.88          2      0.00094   90324.564005   32604.564005
   44    44     982323  33147.503992  58121.3836516665730     8.97    16.56          3     -0.00186   90330.266820   32610.266820
   45    45     982332  33147.807723  58121.3836551819780    20.58    28.87          3     -0.00083   90330.570560   32610.570560
   46    46     982506  33153.679265  58121.3837231396350     6.20    12.35          3      0.00181   90336.442285   32616.442285
   47    47     982517  33154.050324  58121.3837274343040     6.38     6.38          1     -0.00192   90336.813354   32616.813355
   48    48     982536  33154.691524  58121.3837348556030     6.22    13.40          3      0.00000   90337.454574   32617.454575
   49    49     982569  33155.805009  58121.3837477431550    12.61    19.03          4     -0.00194   90338.568094   32618.568095
   50    50     982622  33157.593303  58121.3837684410110     8.05     8.05          1     -0.00600   90340.356445   32620.356445
   51    51     982652  33158.605917  58121.3837801610750    26.65    27.45          2      0.00272   90341.369090   32621.369090
   52    52     982776  33162.790197  58121.3838285902460     5.53     8.32          2      0.00347   90345.553500   32625.553500
   53    53     982806  33163.802485  58121.3838403065340    25.31    30.54          3      0.00256   90346.565819   32626.565820
   54    54     982866  33165.826947  58121.3838637378180    13.59    14.57          2     -0.00267   90348.590345   32628.590345
   55    55     983029  33171.327336  58121.3839273997180    22.90    47.94          5      0.00086   90354.090905   32634.090905
   56    56     983262  33179.189622  58121.3840183984000    71.76   101.29          6     -0.00097   90401.953434   32641.953435
   57    57     983437  33185.094794  58121.3840867453060     6.46    12.34          3     -0.00172   90407.858789   32647.858790
   58    58     983582  33189.987566  58121.3841433746050     6.32     6.32          1     -0.00483   90412.751714   32652.751715
   59    59     983700  33193.969458  58121.3841894613250    11.52    21.54          4     -0.00183   90416.733729   32656.733730
   60    60     983994  33203.890409  58121.3843042871420     8.15    12.02          2      0.00469   90426.654989   32666.654990
   61    61     984051  33205.813444  58121.3843265444860     7.26     7.26          1     -0.00631   90428.578085   32668.578085
   62    62     984133  33208.580723  58121.3843585731840     5.67     8.44          2      0.00175   90431.345450   32671.345450
   63    63     984171  33209.862994  58121.3843734142850     5.60    13.13          4      0.00172   90432.627759   32672.627760
   64    64     984262  33212.933598  58121.3844089536770     7.46     8.06          2     -0.00117   90435.698459   32675.698460
   65    65     984328  33215.160754  58121.3844347309440    15.17    23.51          3      0.00039   90437.925684   32677.925685
   66    66     984333  33215.329519  58121.3844366842500    24.67    56.50          5      0.00172   90438.094454   32678.094455
   67    67     984451  33219.311230  58121.3844827688700     6.30     6.92          2     -0.00061   90442.076290   32682.076290
   68    68     984528  33221.909444  58121.3845128407810    30.95    34.61          3     -0.00275   90444.674585   32684.674585
   69    69     984586  33223.866683  58121.3845354940160     9.64    13.77          2     -0.00014   90446.631884   32686.631885
   70    70     984632  33225.418990  58121.3845534605310     9.97    14.39          3      0.00233   90448.184239   32688.184240
   71    71     984693  33227.477366  58121.3845772843260    11.18    11.92          2      0.00211   90450.242679   32690.242680
   72    72     984767  33229.974203  58121.3846061828990     5.89     5.89          1     -0.00433   90452.739594   32692.739595
   73    73     984873  33233.551317  58121.3846475846910     6.04     9.32          2      0.00314   90456.316820   32696.316820
   74    74     985053  33239.625168  58121.3847178838910    13.38    35.04          5      0.00119   90502.390859   32702.390860
   75    75     985130  33242.223387  58121.3847479558660    29.16    32.42          2     -0.00081   90504.989160   32704.989160
   76    76     985311  33248.331028  58121.3848186461570    19.85    31.48          4     -0.00142   90511.096989   32711.096990
   77    77     985325  33248.803478  58121.3848241143300     6.29    12.48          5     -0.00042   90511.569455   32711.569455
   78    78     985449  33252.987703  58121.3848725428610     5.81    10.63          3     -0.00125   90515.753809   32715.753810
   79    79     985505  33254.877424  58121.3848944146300     8.26     8.26          1      0.00047   90517.643589   32717.643590
   80    80     985529  33255.687314  58121.3849037883520     6.85    17.42          4      0.00147   90518.453505   32718.453505
   81    81     985685  33260.951220  58121.3849647131900     7.17     8.34          2     -0.00311   90523.717574   32723.717575
   82    82     985831  33265.878052  58121.3850217367170     8.45    10.41          2      0.00311   90528.644560   32728.644560
   83    83     985864  33266.991372  58121.3850346223620     9.78    12.35          2     -0.00372   90529.757914   32729.757915
   84    84     986126  33275.832503  58121.3851369502720     5.87     9.58          3      0.00239   90538.599320   32738.599320
   85    85     986236  33279.544327  58121.3851799111940    10.65    14.33          2      0.00200   90542.311259   32742.311260
   86    86     986353  33283.492284  58121.3852256051460     8.97    13.65          3     -0.00064   90546.259340   32746.259340
   87    87     986534  33289.599914  58121.3852962952960     9.91     9.91          1     -0.00156   90552.367160   32752.367160
   88    88     986776  33297.766006  58121.3853908102530     8.08    12.87          4     -0.00014   90600.533504   32760.533505
   89    89     986882  33301.342844  58121.3854322088450     7.37     9.33          2     -0.00083   90604.110454   32764.110455
   90    90     986899  33301.916557  58121.3854388490370     9.92     9.92          1      0.00106   90604.684184   32764.684185
   91    91     986965  33304.143482  58121.3854646236420     7.53    10.65          2     -0.00419   90606.911179   32766.911180
   92    92     986966  33304.177431  58121.3854650165630     6.52     7.36          2      0.00189   90606.945130   32766.945130
   93    93     986975  33304.481227  58121.3854685327230     9.80    12.18          2      0.00486   90607.248934   32767.248935
   94    94     987130  33309.711194  58121.3855290647420     6.45     6.45          1     -0.00553   90612.479064   32772.479065
   95    95     987158  33310.656095  58121.3855400011010    18.41    19.65          2     -0.00347   90613.423994   32773.423995
