yyyy doy mn dd    MJD                 P0ms           Pdot0                  nu0            nudot0_15       tJPLms        SNthr 
2018 312 11 08  58430     33.7551884748710   4.200554E-013     29.6250752901128        -368659.58396      18.2360         0.00 
nGRPmax
    162
 nGRP  nORG  NSEQpulse        TDBsec                  MJD   peakSN    sumSN  Nsubpulse        phase       UThhmmss          UTsec
    0     0    1490484  50311.615788  58430.5823103679100     6.05     6.05          1      0.39886  135050.688300   49850.688300
    1     1    1492184  50369.000007  58430.5829745371140     5.47     5.47          1      0.40961  135148.068970   49908.068970
    2     2    1493164  50402.080148  58430.5833574091260     7.63     9.47          2      0.41067  135221.147064   49941.147065
    3     3    1497202  50538.383512  58430.5849349943550     9.26     9.26          1      0.40553  135437.442000   50077.442000
    4     4    1501285  50676.206464  58430.5865301674110     5.17     7.50          2      0.41828  135655.256430   50215.256430
    5     5    1501852  50695.345167  58430.5867516801790     5.16     5.16          1      0.40344  135714.393949   50234.393950
    6     6    1502273  50709.556125  58430.5869161588610     8.43    10.67          3      0.40392  135728.604030   50248.604030
    7     7    1505539  50819.801131  58430.5881921427200     5.14     5.14          1      0.41842  135918.842219   50358.842220
    8     8    1507606  50889.572678  58430.5889996837760    26.69    26.69          2      0.40447  140028.609454   50428.609455
    9     9    1508128  50907.192913  58430.5892036216700     9.46     9.46          1      0.40489  140046.228600   50446.228600
   10    10    1516813  51200.357109  58430.5925967257980     5.19     7.52          2      0.41078  140539.374680   50739.374680
   11    11    1517839  51234.989679  58430.5929975657220    10.48    11.17          2      0.40261  140614.005109   50774.005110
   12    12    1521071  51344.086119  58430.5942602560130     5.11     5.11          1      0.39081  140803.094810   50883.094810
   13    13    1521577  51361.166609  58430.5944579468670     5.01     6.41          2      0.40128  140820.174245   50900.174245
   14    14    1524047  51444.541769  58430.5954229371390     5.34     7.52          2      0.39508  140943.544255   50983.544255
   15    15    1526062  51512.558780  58430.5962101710720     6.14     8.54          2      0.40286  141051.557065   51051.557065
   16    16    1527781  51570.584509  58430.5968817651460     5.35     5.35          1      0.41836  141149.579210   51109.579210
   17    17    1528515  51595.360399  58430.5971685231360     5.47     5.47          1      0.40550  141214.353569   51134.353570
   18    18    1533421  51760.963644  58430.5990852273660     7.95     7.95          1      0.41094  141459.946589   51299.946590
   19    19    1537008  51882.043135  58430.6004866103550     8.60    11.14          2      0.39767  141701.018604   51421.018605
   20    20    1544285  52127.680056  58430.6033296302720     5.88     8.32          2      0.40522  142106.640364   51666.640365
   21    21    1547945  52251.224144  58430.6047595387010    10.86    16.49          3      0.40578  142310.176829   51790.176830
   22    22    1548494  52269.756178  58430.6049740298370     5.32    11.37          4      0.41831  142328.707719   51808.707720
   23    23    1551136  52358.937120  58430.6060062166660     5.07     6.44          2      0.40872  142457.883159   51897.883160
