yyyy doy mn dd    MJD                 P0ms           Pdot0                  nu0            nudot0_15       tJPLms        SNthr 
2018 312 11 08  58430     33.7551884748710   4.200554E-013     29.6250752901128        -368659.58396      18.2360         0.00 
nGRPmax
   1756
 nGRP  nORG  NSEQpulse        TDBsec                  MJD   peakSN    sumSN  Nsubpulse        phase       UThhmmss          UTsec
    0     0    1489610  50282.100367  58430.5819687542400    14.91    19.86          3      0.00283  135021.174704   49821.174705
    1     1    1489752  50286.893614  58430.5820242316420     6.52    15.75          5      0.00303  135025.967655   49825.967655
    2     2    1489778  50287.771228  58430.5820343892100    10.56    13.17          2      0.00242  135026.845215   49826.845215
    3     3    1490314  50305.863877  58430.5822437948800     5.86     5.86          1     -0.00183  135044.936744   49844.936745
    4     4    1490676  50318.083373  58430.5823852242300     5.32     5.32          1      0.00142  135057.155485   49857.155485
    5     5    1490991  50328.716230  58430.5825082897020    93.67   130.20          4      0.00044  135107.787685   49867.787685
    6     6    1491174  50334.893378  58430.5825797844610     5.65     6.80          2     -0.00122  135113.964449   49873.964450
    7     7    1491278  50338.404060  58430.5826204173700     8.07    13.66          2      0.00292  135117.474914   49877.474915
    8     8    1491556  50347.787860  58430.5827290261630     5.57     5.57          1     -0.00144  135126.858135   49886.858135
    9     9    1491742  50354.066543  58430.5828016961020     7.93     7.93          1      0.00489  135133.136429   49893.136430
   10    10    1492392  50376.007405  58430.5830556412670    90.99   100.18          2      0.00417  135155.075935   49915.075935
   11    11    1492446  50377.830143  58430.5830767377660     5.86     7.97          2      0.00289  135156.898560   49916.898560
   12    12    1492599  50382.994613  58430.5831365117310     7.33     7.33          1      0.00058  135202.062709   49922.062710
   13    13    1492745  50387.922927  58430.5831935523970    14.68    20.29          3      0.00219  135206.990720   49926.990720
   14    14    1492761  50388.462886  58430.5831998019200     7.68    10.52          2     -0.00150  135207.530644   49927.530645
   15    15    1492780  50389.104385  58430.5832072266750     7.66    10.05          2      0.00294  135208.172104   49928.172105
   16    16    1492898  50393.087502  58430.5832533275650    10.89    11.17          2      0.00300  135212.154974   49932.154975
   17    17    1493215  50403.787684  58430.5833771722620     9.63    14.21          3     -0.00350  135222.854494   49942.854495
   18    18    1493797  50423.433339  58430.5836045525380     7.89     9.89          2      0.00014  135242.498935   49962.498935
   19    19    1494087  50433.222409  58430.5837178519550     7.73    10.46          2      0.00189  135252.287400   49972.287400
   20    20    1494824  50458.099947  58430.5840057864320    25.79    35.67          3      0.00039  135317.163399   49997.163400
   21    21    1495009  50464.344579  58430.5840780622590     5.94    11.74          3     -0.00206  135323.407644   50003.407645
   22    22    1495014  50464.513409  58430.5840800163070     5.14     5.14          1     -0.00044  135323.576464   50003.576465
   23    23    1495060  50466.066130  58430.5840979876100     6.50     8.56          2     -0.00100  135325.129090   50005.129090
   24    24    1495211  50471.163350  58430.5841569832190     6.78     8.87          2      0.00444  135330.225995   50010.225995
   25    25    1495260  50472.817373  58430.5841761270020    82.19    90.11          2      0.00494  135331.879914   50011.879915
   26    26    1495638  50485.577212  58430.5843238103300     5.13     7.75          2      0.01589  135344.638964   50024.638965
   27    27    1495803  50491.146281  58430.5843882671360     5.51     8.74          2     -0.00011  135350.207690   50030.207690
