yyyy doy mn dd    MJD                 P0ms           Pdot0                  nu0            nudot0_15       tJPLms        SNthr 
2018 313 11 09  58431     33.7552247881230   4.200554E-013     29.6250434199999        -368658.79077      13.8631         5.00 
nGRPmax
    152
 nGRP  nORG  NSEQpulse        TDBsec                  MJD   peakSN    sumSN  Nsubpulse        phase       UThhmmss          UTsec
    0     0    1401134  47295.634510  58431.5474031771900     5.83     8.95          2      0.40292  130029.679774   46829.679775
    1     1    1403033  47359.735828  58431.5481450905980     5.55     7.83          2      0.40614  130133.777204   46893.777205
    2     2    1410966  47627.516112  58431.5512443994500     5.18     8.88          3      0.40428  130601.541250   47161.541250
    3     3    1412179  47668.461045  58431.5517182991360     5.08     5.66          2      0.39897  130642.483699   47202.483700
    4     4    1413622  47717.169778  58431.5522820576130     5.19     5.19          1      0.39644  130731.189480   47251.189480
    5     5    1414796  47756.798201  58431.5527407199230     5.25     7.79          2      0.38950  130810.815499   47290.815500
    6     6    1416543  47815.769506  58431.5534232581760     5.01     7.28          2      0.41592  130909.783230   47349.783230
    7     7    1421174  47972.089752  58431.5552325202820    15.17    15.17          1      0.40725  131146.093999   47506.094000
    8     8    1423144  48038.587468  58431.5560021697660     9.09    11.66          2      0.40350  131252.587684   47572.587685
    9     9    1424653  48089.524180  58431.5565917150460     8.83    16.99          3      0.40519  131343.521309   47623.521310
   10    10    1427442  48183.667551  58431.5576813373950    16.73    16.73          1      0.40467  131517.658974   47717.658975
   11    11    1428523  48220.156772  58431.5581036663420     6.69     8.98          2      0.39878  131554.145985   47754.145985
   12    12    1430034  48271.161643  58431.5586940004990     5.09     7.92          2      0.41939  131645.147765   47805.147765
   13    13    1432649  48359.431301  58431.5597156400510     5.12     8.40          3      0.41028  131813.412075   47893.412075
   14    14    1435623  48459.818913  58431.5608775337220     5.03     6.75          2      0.39586  131953.793604   47993.793605
   15    15    1436461  48488.105692  58431.5612049269890     5.14     7.89          2      0.39269  132022.078670   48022.078670
   16    16    1436942  48504.342370  58431.5613928515070     5.12     5.12          1      0.40442  132038.314364   48038.314365
   17    17    1452582  49032.274719  58431.5675031796220     5.21     7.56          2      0.41394  132926.214740   48566.214740
   18    18    1465244  49459.683100  58431.5724500358780     5.16     6.09          2      0.39803  133633.597249   48993.597250
   19    19    1465908  49482.097016  58431.5727094562050     5.27     5.27          1      0.41086  133656.009810   49016.009810
   20    20    1467257  49527.633072  58431.5732364938880     5.12     7.71          2      0.41767  133741.543109   49061.543110
   21    21    1471219  49661.371084  58431.5747843875460    13.43    13.43          1      0.40964  133955.273029   49195.273030
   22    22    1562893  52755.849350  58431.6106001082110    13.58    15.66          2      0.40422  143129.564440   52289.564440
   23    23    1564411  52807.089632  58431.6111931670400     5.06     6.25          2      0.39853  143220.801635   52340.801635
