yyyy doy mn dd    MJD                 P0ms           Pdot0                  nu0            nudot0_15       tJPLms        SNthr 
2018 313 11 09  58431     33.7552247881230   4.200554E-013     29.6250434199999        -368658.79077      13.8631         5.00 
nGRPmax
   1390
 nGRP  nORG  NSEQpulse        TDBsec                  MJD   peakSN    sumSN  Nsubpulse        phase       UThhmmss          UTsec
    0     0    1400343  47268.920400  58431.5470939861120     5.56     5.56          1     -0.00328  130002.967284   46802.967285
    1     1    1400383  47270.270737  58431.5471096150140     5.36     5.36          1      0.00075  130004.317539   46804.317540
    2     2    1401129  47295.452124  58431.5474010662530    26.93    26.93          1      0.00000  130029.497400   46829.497400
    3     3    1401356  47303.114574  58431.5474897520130     5.55     6.60          2      0.00000  130037.159384   46837.159385
    4     4    1401826  47318.979546  58431.5476733743740     5.67    14.10          3      0.00022  130053.023394   46853.023395
    5     5    1402182  47330.996420  58431.5478124585600     6.66    10.82          3      0.00069  130105.039539   46865.039540
    6     6    1402188  47331.199042  58431.5478148037250     6.50     6.50          1      0.00339  130105.242149   46865.242150
    7     7    1402254  47333.426292  58431.5478405820800     5.20     7.25          2     -0.01456  130107.469264   46867.469265
    8     8    1402720  47349.157107  58431.5480226516990     5.17     6.27          2      0.01122  130123.199124   46883.199125
    9     9    1403077  47361.206877  58431.5481621166340     5.57     7.57          2     -0.01400  130135.248164   46895.248165
   10    10    1403657  47380.785495  58431.5483887210110    11.43    15.37          3      0.00306  130154.825595   46914.825595
   11    11    1403830  47386.625139  58431.5484563094780     6.47     8.20          2      0.00267  130200.664884   46920.664885
   12    12    1403885  47388.481592  58431.5484777961980     5.83    10.44          3      0.00011  130202.521224   46922.521225
   13    13    1403990  47392.025917  58431.5485188184830     7.45    17.34          4      0.00083  130206.065334   46926.065335
   14    14    1404298  47402.422637  58431.5486391508860     5.55     6.14          2      0.00397  130216.461425   46936.461425
   15    15    1404477  47408.464644  58431.5487090815230     7.00     9.26          3     -0.00144  130222.503064   46942.503065
   16    16    1404576  47411.806436  58431.5487477596800    18.10    27.31          4     -0.00075  130225.844655   46945.844655
   17    17    1405265  47435.063837  58431.5490169425660     7.89    12.64          3      0.00033  130249.100644   46969.100645
   18    18    1406244  47468.110406  58431.5493994259970     5.03     5.03          1      0.00608  130322.145210   47002.145210
   19    19    1406778  47486.135359  58431.5496080481410     6.98     6.98          1     -0.00419  130340.169070   47020.169070
   20    20    1406838  47488.160767  58431.5496314903550     8.46     9.61          2     -0.00172  130342.194354   47022.194355
   21    21    1408019  47528.025679  58431.5500928898050     5.19     7.78          2     -0.00239  130422.056850   47062.056850
   22    22    1408232  47535.215690  58431.5501761075200    12.68    16.48          3      0.00161  130429.246424   47069.246425
   23    23    1408399  47540.852862  58431.5502413525630     7.52    10.20          2      0.00297  130434.883255   47074.883255
   24    24    1408873  47556.852793  58431.5504265369470     9.40    11.85          2      0.00131  130450.882214   47090.882215
   25    25    1409966  47593.747295  58431.5508535566590     5.46     5.46          1      0.00217  130527.774480   47127.774480
   26    26    1410183  47601.072004  58431.5509383333760     5.18     6.52          2     -0.00342  130535.098745   47135.098745
   27    27    1410509  47612.076241  58431.5510656972290    10.57    10.57          1     -0.00258  130546.102314   47146.102315
   28    28    1410813  47622.338023  58431.5511844678660     5.46     8.84          3      0.00297  130556.363474   47156.363475
   29    29    1410917  47625.848221  58431.5512250951550     5.43    11.06          3     -0.00706  130559.873460   47159.873460
   30    30    1411448  47643.772468  58431.5514325517180     6.98    13.73          4     -0.00078  130617.796620   47177.796620
   31    31    1411519  47646.169083  58431.5514602903170    28.67    30.72          2     -0.00097  130620.193090   47180.193090
   32    32    1412075  47664.937166  58431.5516775134980    22.61    24.87          2      0.00369  130638.960034   47198.960035
   33    33    1412151  47667.502547  58431.5517072054020     9.46    13.47          3      0.00342  130641.525260   47201.525260
   34    34    1412203  47669.257763  58431.5517275204100     5.19     8.60          2      0.00175  130643.280370   47203.280370
   35    35    1412274  47671.653944  58431.5517552539780     5.64    13.30          4     -0.01161  130645.676404   47205.676405
   36    36    1412624  47683.468510  58431.5518919966460     5.07     5.07          1     -0.00478  130657.490254   47217.490255
   37    37    1412727  47686.945996  58431.5519322453250     5.75     7.35          2      0.01611  130700.967530   47220.967530
   38    38    1413846  47724.717591  58431.5523694165630     8.13     8.13          1      0.00031  130738.736835   47258.736835
   39    39    1414149  47734.945451  58431.5524877945730     8.38    20.12          4      0.00092  130748.964075   47268.964075
   40    40    1414198  47736.599571  58431.5525069394820     8.39    20.02          4      0.00428  130750.618094   47270.618095
   41    41    1414277  47739.266288  58431.5525378042620     5.12    13.91          5      0.00611  130753.284650   47273.284650
   42    42    1414469  47745.747231  58431.5526128151810     5.93    11.89          3      0.00422  130759.765200   47279.765200
   43    43    1414620  47750.844250  58431.5526718084480     6.24     6.65          2      0.00353  130804.861909   47284.861910
   44    44    1414668  47752.464493  58431.5526905612670     6.65     6.82          2      0.00300  130806.482055   47286.482055
   45    45    1414791  47756.616325  58431.5527386148740     6.25     6.25          1      0.00114  130810.633634   47290.633635
   46    46    1414965  47762.489671  58431.5528065934080     8.95     9.00          2     -0.00083  130816.506625   47296.506625
   47    47    1415160  47769.071925  58431.5528827769090    11.98    14.63          2     -0.00111  130823.088479   47303.088480
   48    48    1415236  47771.637286  58431.5529124685820     9.03    11.86          2     -0.00253  130825.653684   47305.653685
